Fecha de publicación,Hora,Actual,Previsión,Anterior
20.04.2016,16:30,"2,080M","2,400M","6,634M"
13.04.2016,16:30,"6,634M","1,850M","-4,937M"
06.04.2016,16:30,"-4,937M","3,150M","2,299M"
30.03.2016,16:30,"2,299M","3,300M","9,357M"
23.03.2016,16:30,"9,357M","3,090M","1,317M"
16.03.2016,16:30,"1,317M","3,414M","3,880M"
09.03.2016,17:30,"3,880M","3,867M","10,374M"
02.03.2016,17:30,"10,374M","3,604M","3,502M"
24.02.2016,17:30,"3,502M","3,427M","2,147M"
18.02.2016,18:00,"2,147M","3,920M","-0,754M"
10.02.2016,17:30,"-0,754M","3,550M","7,792M"
03.02.2016,17:30,"7,792M","4,760M","8,383M"
27.01.2016,17:30,"8,383M","3,277M","3,979M"
21.01.2016,18:00,"3,979M","2,811M","0,234M"
13.01.2016,17:30,"0,234M","2,504M","-5,085M"
06.01.2016,17:30,"-5,085M","0,439M","2,629M"
30.12.2015,17:30,"2,629M","-2,457M","-5,877M"
23.12.2015,17:30,"-5,877M","1,083M","4,801M"
16.12.2015,17:30,"4,801M","-1,417M","-3,568M"
09.12.2015,17:30,"-3,568M","0,252M","1,177M"
02.12.2015,17:30,"1,177M","-0,471M","0,961M"
25.11.2015,17:30,"0,961M","1,200M","0,252M"
18.11.2015,17:30,"0,252M","1,900M","4,224M"
12.11.2015,18:00,"4,224M","1,016M","2,847M"
04.11.2015,17:30,"2,847M","2,787M","3,376M"
28.10.2015,16:30,"3,376M","3,417M","8,028M"
21.10.2015,16:30,"8,028M","3,867M","7,562M"
15.10.2015,17:00,"7,562M","2,848M","3,073M"
07.10.2015,16:30,"3,073M","2,200M","3,955M"
30.09.2015,16:30,"3,955M","0,102M","-1,925M"
